User_Feedback,Sentiment,FileName
slowmoving aimless movie distressed drifting young man,0,imdb_labelled
sure lost flat character audience nearly half walked,0,imdb_labelled
attempting artiness black white clever camera angle movie disappointed became even ridiculous acting poor plot line almost nonexistent,0,imdb_labelled
little music anything speak,0,imdb_labelled
best scene movie gerardo trying find song keep running head,1,imdb_labelled
rest movie lack art charm meaning emptiness work guess empty,0,imdb_labelled
wasted two hour,0,imdb_labelled
saw movie today thought good effort good message kid,1,imdb_labelled
bit predictable,0,imdb_labelled
loved casting jimmy buffet science teacher,1,imdb_labelled
baby owl adorable,1,imdb_labelled
movie showed lot florida best made look appealing,1,imdb_labelled
song best muppets hilarious,1,imdb_labelled
cool,1,imdb_labelled
right case movie delivers everything almost right face,1,imdb_labelled
average acting main person low budget clearly see,0,imdb_labelled
review long overdue since consider tale two sister single greatest film ever made,1,imdb_labelled
ill put gem movie term screenplay cinematography acting postproduction editing directing aspect filmmaking,1,imdb_labelled
practically perfect â true masterpiece sea faux masterpiece,1,imdb_labelled
structure film easily tightly constructed history cinema,1,imdb_labelled
think film something vitally important occurs every minute,1,imdb_labelled
word content level film enough easily fill dozen film,1,imdb_labelled
anyone right mind ask anything movie,1,imdb_labelled
quite simply highest superlative form cinema imaginable,1,imdb_labelled
yes film require rather significant amount puzzlesolving piece fit together create beautiful picture,1,imdb_labelled
short film certainly pull punch,0,imdb_labelled
graphic far best part game,0,imdb_labelled
number one best th game series,1,imdb_labelled
deserves strong love,1,imdb_labelled
insane game,1,imdb_labelled
massive level massive unlockable character massive game,1,imdb_labelled
waste money game,1,imdb_labelled
kind money wasted properly,1,imdb_labelled
actually graphic good time,1,imdb_labelled
today graphic crap,0,imdb_labelled
say canada fun game aye,1,imdb_labelled
game rock,1,imdb_labelled
buy play enjoy love,1,imdb_labelled
pure brilliance,1,imdb_labelled
flick doomed conception,0,imdb_labelled
idea lame take minor character mediocre pg film make complete nonsequel changing tone pgrated family movie,0,imdb_labelled
wasnt least bit interested,0,imdb_labelled
confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer,0,imdb_labelled
funny,0,imdb_labelled
even talented carrell cant save,0,imdb_labelled
costars dont fare much better people like morgan freeman jonah hill ed helm wasted,0,imdb_labelled
story predictable lazy,0,imdb_labelled
real effect work presence animal integration scene worst obvious bluegreenscreen work ive ever seen,0,imdb_labelled
whatever cost much didnt translate quality thats sure,0,imdb_labelled
film succeeds despite perhaps obviously meagre budget,1,imdb_labelled
im glad film didnt go obvious choice lesser film certainly would,1,imdb_labelled
addition one lovely song ever written french cancan also boast one cutest leading lady ever grace screen,1,imdb_labelled
hard fall headoverheels love girl,1,imdb_labelled
negative insipid enough cause regret another hour life wasted front screen,0,imdb_labelled
long whiny pointless,0,imdb_labelled
recommend waiting future effort let one go,0,imdb_labelled
excellent cast story line performance,1,imdb_labelled
totally believable,1,imdb_labelled
anne heche utterly convincing,1,imdb_labelled
sam shepard portrayal gung ho marine sobering,1,imdb_labelled
sat riveted tv screen,1,imdb_labelled
give one resounding,1,imdb_labelled
think tom hank good actor,1,imdb_labelled
enjoyed reading book child little,1,imdb_labelled
disappointed movie,0,imdb_labelled
one character totally annoying voice give feeling fingernail chalkboard,0,imdb_labelled
totally unnecessary trainroller coaster scene,0,imdb_labelled
absolutely warmth charm scene character,0,imdb_labelled
movie totally grate nerve,0,imdb_labelled
performance improved improvisation actor twice much worry whether theyre delivering line well whether line good,0,imdb_labelled
quite honestly often good,0,imdb_labelled
often dialogue doesnt really follow one line another fit surroundings,0,imdb_labelled
crackle unpredictable youthful energy honestly found hard follow concentrate meander badly,0,imdb_labelled
generally great thing,1,imdb_labelled
wouldnt say theyre worth hour time though,0,imdb_labelled
suspense builder good cross line g pg,1,imdb_labelled
especially liked noncliche choice parent movie could predict dialog verbatim writing movie made better selection,1,imdb_labelled
want movie thats gross give chill great choice,1,imdb_labelled
alexander nevsky great film,1,imdb_labelled
amazing film artist one important whoever lived,1,imdb_labelled
im glad pretentious piece didnt planned dodge stratus big shot gonna help movie maker arent restrained movie business quãbec,0,imdb_labelled
first movie ive given year,1,imdb_labelled
ever movie needed wordofmouth promote,1,imdb_labelled
overall film interesting thoughtprovoking,1,imdb_labelled
plus wellpaced suited relatively short run time,1,imdb_labelled
give one look,1,imdb_labelled
gave,1,imdb_labelled
wind lion well written superbly acted,1,imdb_labelled
true classic,1,imdb_labelled
actually turned pretty decent far blist horrorsuspense film go,1,imdb_labelled
definitely worth checking,1,imdb_labelled
problem script,0,imdb_labelled
horrendous,0,imdb_labelled
nothing believable,0,imdb_labelled
suspense feeling frustration retarded girl,0,imdb_labelled
manna heaven terrific film predictable unpredictable time,1,imdb_labelled
scene often funny occasionally touching character evaluate life going,1,imdb_labelled
cast veteran actor nostalgia trip,1,imdb_labelled
ursula burton portrayal nun touching funny time making fun nun church,1,imdb_labelled
looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,1,imdb_labelled
dont think disappointed,1,imdb_labelled
frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,imdb_labelled
acting bad dialog extremely shallow insincere,0,imdb_labelled
predictable even chick flick,0,imdb_labelled
politically correct,0,imdb_labelled
disappointing,0,imdb_labelled
thing really worth watching scenery house beautiful,1,imdb_labelled
love lane ive never seen movie lousy,0,imdb_labelled
hour half wish could bring back,0,imdb_labelled
term writing fresh bold,1,imdb_labelled
acting help writing along well maybe idiotsavant sister could played better real joy watch,1,imdb_labelled
directing cinematography arent quite good,0,imdb_labelled
movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0,imdb_labelled
sometimes embarrassing look away,0,imdb_labelled
directing seems pretentious,0,imdb_labelled
scene ohsomature neighbourgirl misplace,0,imdb_labelled
generally line plot weaker average episode,0,imdb_labelled
scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0,imdb_labelled
applause given prelude however,1,imdb_labelled
really liked,1,imdb_labelled
great film great director,1,imdb_labelled
movie edge seat made somewhat afraid go car end night,1,imdb_labelled
music film really nice,1,imdb_labelled
id advise anyone go see,1,imdb_labelled
brilliant,1,imdb_labelled
,1,imdb_labelled
liked movie way much,1,imdb_labelled
problem thought actor playing villain low rent michael ironside,0,imdb_labelled
rocked world certainly must see anyone social physical outlet,1,imdb_labelled
however didnt make fact overall tremendously boring movie,0,imdb_labelled
chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,0,imdb_labelled
several moment movie didnt need excruciatingly slow moving,0,imdb_labelled
poor remake best friend wedding,0,imdb_labelled
great disappointment,0,imdb_labelled
cannot believe actor agreed film,0,imdb_labelled
could stand even watch long fear losing iq,0,imdb_labelled
guess nobody network aired dribble watched putting,0,imdb_labelled
imdb rating go low awful time get negative number case,0,imdb_labelled
saw mirrormask last night unsatisfactory experience,0,imdb_labelled
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0,imdb_labelled
central theme film handled ineptly stereotypically depth imagination,0,imdb_labelled
pretty picture world cannot make piece work flawed core,0,imdb_labelled
hour half waste time following bunch pretty high schoolers whine cry life,0,imdb_labelled
cant relate hell barely understand,0,imdb_labelled
definitely cult classic well worth viewing sharing others,1,imdb_labelled
movie pure disaster story stupid editing worst seen confuses incredibly,0,imdb_labelled
fish badly made underwater shot repeated thousand time film,0,imdb_labelled
