User_Feedback,Sentiment,FileName
wow loved place,1,yelp_labelled
crust good,0,yelp_labelled
tasty texture nasty,0,yelp_labelled
stopped late may bank holiday rick steve recommendation loved,1,yelp_labelled
selection menu great price,1,yelp_labelled
getting angry want damn pho,0,yelp_labelled
honeslty didnt taste fresh,0,yelp_labelled
potato like rubber could tell made ahead time kept warmer,0,yelp_labelled
fry great,1,yelp_labelled
great touch,1,yelp_labelled
service prompt,1,yelp_labelled
would go back,0,yelp_labelled
cashier care ever say still ended wayyy overpriced,0,yelp_labelled
tried cape cod ravoli chickenwith cranberrymmmm,1,yelp_labelled
disgusted pretty sure human hair,0,yelp_labelled
shocked sign indicate cash,0,yelp_labelled
highly recommended,1,yelp_labelled
waitress little slow service,0,yelp_labelled
place worth time let alone vega,0,yelp_labelled
like,0,yelp_labelled
burrittos blah,0,yelp_labelled
food amazing,1,yelp_labelled
service also cute,1,yelp_labelled
could care le interior beautiful,1,yelp_labelled
performed,1,yelp_labelled
thats rightthe red velvet cakeohhh stuff good,1,yelp_labelled
never brought salad asked,0,yelp_labelled
hole wall great mexican street taco friendly staff,1,yelp_labelled
took hour get food table restaurant food luke warm sever running around like totally overwhelmed,0,yelp_labelled
worst salmon sashimi,0,yelp_labelled
also combo like burger fry beer decent deal,1,yelp_labelled
like final blow,0,yelp_labelled
found place accident could happier,1,yelp_labelled
seems like good quick place grab bite familiar pub food favor look elsewhere,0,yelp_labelled
overall like place lot,1,yelp_labelled
redeeming quality restaurant inexpensive,1,yelp_labelled
ample portion good price,1,yelp_labelled
poor service waiter made feel like stupid every time came table,0,yelp_labelled
first visit hiro delight,1,yelp_labelled
service suck,0,yelp_labelled
shrimp tender moist,1,yelp_labelled
deal good enough would drag establishment,0,yelp_labelled
hard judge whether side good grossed melted styrofoam didnt want eat fear getting sick,0,yelp_labelled
positive note server attentive provided great service,1,yelp_labelled
frozen puck disgust worst people behind register,0,yelp_labelled
thing like prime rib dessert section,1,yelp_labelled
bad food damn generic,0,yelp_labelled
burger good beef cooked right,1,yelp_labelled
want sandwich go firehouse,1,yelp_labelled
side greek salad greek dressing tasty pita hummus refreshing,1,yelp_labelled
ordered duck rare pink tender inside nice char outside,1,yelp_labelled
came running u realized husband left sunglass table,1,yelp_labelled
chow mein good,1,yelp_labelled
horrible attitude towards customer talk one customer dont enjoy food,0,yelp_labelled
portion huge,1,yelp_labelled
loved itfriendly server great food wonderful imaginative menu,1,yelp_labelled
heart attack grill downtown vega absolutely flatlined excuse restaurant,0,yelp_labelled
much seafood like string pasta bottom,0,yelp_labelled
salad right amount sauce power scallop perfectly cooked,1,yelp_labelled
ripped banana ripped petrified tasteless,0,yelp_labelled
least think refill water struggle wave minute,0,yelp_labelled
place receives star appetizer,1,yelp_labelled
cocktail handmade delicious,1,yelp_labelled
wed definitely go back,1,yelp_labelled
glad found place,1,yelp_labelled
great food service huge portion give military discount,1,yelp_labelled
always great time do gringo,1,yelp_labelled
updatewent back second time still amazing,1,yelp_labelled
got food apparently never heard salt batter fish chewy,0,yelp_labelled
great way finish great,1,yelp_labelled
deal included tasting drink jeff went beyond expected,1,yelp_labelled
really really good rice time,1,yelp_labelled
service meh,0,yelp_labelled
took min get milkshake nothing chocolate milk,0,yelp_labelled
guess known place would suck inside excalibur didnt use common sense,0,yelp_labelled
scallop dish quite appalling value well,0,yelp_labelled
time bad customer service,0,yelp_labelled
sweet potato fry good seasoned well,1,yelp_labelled
today second time ive lunch buffet pretty good,1,yelp_labelled
much good food vega feel cheated wasting eating opportunity going rice company,0,yelp_labelled
coming like experiencing underwhelming relationship party cant wait person ask break,0,yelp_labelled
walked place smelled like old grease trap others eating,0,yelp_labelled
turkey roast beef bland,0,yelp_labelled
place,1,yelp_labelled
pan cake everyone raving taste like sugary disaster tailored palate six year old,0,yelp_labelled
love pho spring roll oh yummy try,1,yelp_labelled
poor batter meat ratio made chicken tender unsatisfying,0,yelp_labelled
say food amazing,1,yelp_labelled
omelet die,1,yelp_labelled
everything fresh delicious,1,yelp_labelled
summary largely disappointing dining experience,0,yelp_labelled
like really sexy party mouth youre outrageously flirting hottest person party,1,yelp_labelled
never hard rock casino never ever step forward,0,yelp_labelled
best breakfast buffet,1,yelp_labelled
say bye bye tip lady,0,yelp_labelled
well never go,0,yelp_labelled
back,1,yelp_labelled
food arrived quickly,1,yelp_labelled
good,0,yelp_labelled
side cafe serf really good food,1,yelp_labelled
server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,1,yelp_labelled
good thing waiter helpful kept bloddy mary coming,1,yelp_labelled
best buffet town price cannot beat,1,yelp_labelled
loved mussel cooked wine reduction duck tender potato dish delicious,1,yelp_labelled
one better buffet,1,yelp_labelled
went tigerlilly fantastic afternoon,1,yelp_labelled
food delicious bartender attentive personable got great deal,1,yelp_labelled
ambience wonderful music playing,1,yelp_labelled
go back next trip,1,yelp_labelled
sooooo good,1,yelp_labelled
real sushi lover let honest yama good,0,yelp_labelled
least min passed u ordering food arriving wasnt busy,0,yelp_labelled
really fantastic thai restaurant definitely worth visit,1,yelp_labelled
nice spicy tender,1,yelp_labelled
good price,1,yelp_labelled
check,1,yelp_labelled
pretty gross,0,yelp_labelled
ive better atmosphere,0,yelp_labelled
kind hard mess steak,0,yelp_labelled
although much liked look sound place actual experience bit disappointing,0,yelp_labelled
dont know place managed served blandest food ever eaten preparing indian cuisine,0,yelp_labelled
worst service boot least worry,0,yelp_labelled
service fine waitress friendly,1,yelp_labelled
guy steak steak loving son steak best worst place said best steak he ever eaten,1,yelp_labelled
thought youd venture away get good sushi place really hit spot night,1,yelp_labelled
host staff lack better word bitch,0,yelp_labelled
bland liking place number reason dont want waste time bad reviewing ill leave,0,yelp_labelled
phenomenal food service ambiance,1,yelp_labelled
wouldnt return,0,yelp_labelled
definitely worth venturing strip pork belly return next time im vega,1,yelp_labelled
place way overpriced mediocre food,0,yelp_labelled
penne vodka excellent,1,yelp_labelled
good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,1,yelp_labelled
