User_Feedback,Sentiment,FileName
way plug u unless go converter,0,amazon_cells_labelled
good case excellent value,1,amazon_cells_labelled
great jawbone,1,amazon_cells_labelled
tied charger conversation lasting minutesmajor problem,0,amazon_cells_labelled
mic great,1,amazon_cells_labelled
jiggle plug get line right get decent volume,0,amazon_cells_labelled
several dozen several hundred contact imagine fun sending one one,0,amazon_cells_labelled
razr owneryou must,1,amazon_cells_labelled
needle say wasted money,0,amazon_cells_labelled
waste money time,0,amazon_cells_labelled
sound quality great,1,amazon_cells_labelled
impressed going original battery extended battery,1,amazon_cells_labelled
two seperated mere ft started notice excessive static garbled sound headset,0,amazon_cells_labelled
good quality though,1,amazon_cells_labelled
design odd ear clip comfortable,0,amazon_cells_labelled
highly recommend one blue tooth phone,1,amazon_cells_labelled
advise everyone fooled,0,amazon_cells_labelled
far good,1,amazon_cells_labelled
work great,1,amazon_cells_labelled
click place way make wonder long mechanism would last,0,amazon_cells_labelled
went motorolas website followed direction could get pair,0,amazon_cells_labelled
bought use kindle fire absolutely loved,1,amazon_cells_labelled
commercial misleading,0,amazon_cells_labelled
yet run new battery two bar thats three day without charging,1,amazon_cells_labelled
bought mother problem battery,0,amazon_cells_labelled
great pocket pc phone combination,1,amazon_cells_labelled
ive owned phone month say best mobile phone ive,1,amazon_cells_labelled
didnt think instruction provided helpful,0,amazon_cells_labelled
people couldnt hear talk pull earphone talk phone,0,amazon_cells_labelled
doesnt hold charge,0,amazon_cells_labelled
simple little phone use breakage unacceptible,0,amazon_cells_labelled
product ideal people like whose ear sensitive,1,amazon_cells_labelled
unusable moving car freeway speed,0,amazon_cells_labelled
two year left contract hate phone,0,amazon_cells_labelled
car charger well ac charger included make sure never run juicehighy recommended,1,amazon_cells_labelled
need least min get phone book time first turn phonebattery life short,0,amazon_cells_labelled
kept well,1,amazon_cells_labelled
poor talk time performance,0,amazon_cells_labelled
case great work fine,1,amazon_cells_labelled
worthless product,0,amazon_cells_labelled
great camera thats mp pic nice clear great picture quality,1,amazon_cells_labelled
impressed product,0,amazon_cells_labelled
nice headset priced right,1,amazon_cells_labelled
hear garbage audio,0,amazon_cells_labelled
excellent bluetooth headset,1,amazon_cells_labelled
feature want,1,amazon_cells_labelled
right mind gonna buy battery,0,amazon_cells_labelled
arguing verizon regarding dropped call returned phone two day,0,amazon_cells_labelled
case seems well made,1,amazon_cells_labelled
disappointed battery,0,amazon_cells_labelled
